ClusterName,EvaluationName,TotalItems,QtyComplianceYES,QtyComplianceNO,PercentComplianceYES,PercentComplianceNO
AZ-EU-PV-PRD-CE-PDF-AKS-01,12_node_affinity_compliance,18,0,18,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,13_pod_disruption_budget_compliance,3,3,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,14_resource_limits_compliance,18,8,10,44.44%,55.56%
AZ-EU-PV-PRD-CE-PDF-AKS-01,15_cpu_request_compliance,53,0,53,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,16_disable_cpu_limits_compliance,53,53,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,17_namespace_limitrange_compliance,17,17,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,18_pod_qos_compliance,29,19,10,65.52%,34.48%
AZ-EU-PV-PRD-CE-PDF-AKS-01,19_kubernetes_compliance,175,0,175,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,1_check_readiness,33,16,17,48.48%,51.52%
AZ-EU-PV-PRD-CE-PDF-AKS-01,20_kubernetes_commercial_compliance,175,0,175,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,21_kubernetes_security_compliance,175,0,175,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,22_logging_compliance,29,0,29,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,23_sidecar_logging_compliance,29,29,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,24_stateless_containers_compliance,33,29,4,87.88%,12.12%
AZ-EU-PV-PRD-CE-PDF-AKS-01,25_hpa_usage_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PDF-AKS-01,27_cluster_autoscaler_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PDF-AKS-01,28_config_exteriorization_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PDF-AKS-01,29_SecretsMountValidation,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PDF-AKS-01,2_crash_events,29,19,10,65.52%,34.48%
AZ-EU-PV-PRD-CE-PDF-AKS-01,30_NamespaceLimitRangeValidation,18,0,18,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,31_NamespaceResourceQuotaValidation,18,0,18,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,32_kubernetes_pod_security_policies,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PDF-AKS-01,33_PodPrivilegedCheck,29,25,4,86.21%,13.79%
AZ-EU-PV-PRD-CE-PDF-AKS-01,34_PodReadOnlyFilesystemCheck,29,7,22,24.14%,75.86%
AZ-EU-PV-PRD-CE-PDF-AKS-01,35_PodRootUserCheck,29,29,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,37_kubernetes_privilege_escalation,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PDF-AKS-01,38_NetworkPolicyCheck,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PDF-AKS-01,39_ConservativeNetworkPolicyCheck,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PDF-AKS-01,3_liveness_probe_info,33,15,18,45.45%,54.55%
AZ-EU-PV-PRD-CE-PDF-AKS-01,40_DisableAutoMount_Report,31,31,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,41_RBAC_MinimumPrivileges_Check,4,0,4,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,42_RBAC_GranularRoles_Check,5,0,5,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,43_ImagePolicyWebhook_Check,4,0,4,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,43_RBAC_Policies_Report,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PDF-AKS-01,44_IngressHostUniqueness_Check,4,0,4,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,45_IngressApprovedDomains_Check,4,0,4,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,4_kubernetes_compliance,33,27,6,81.82%,18.18%
AZ-EU-PV-PRD-CE-PDF-AKS-01,5_kubernetes_readiness_probe_compliance,33,33,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,6_kubernetes_retry_policy_compliance,33,0,33,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,7_kubernetes_connection_handling_compliance,33,0,33,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,8_kubernetes_pod_grace_period,33,0,33,0.00%,100.00%
AZ-EU-PV-PRD-CE-PDF-AKS-01,9_CMD_SIGTERM_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PO-AKS-01,10_socket_closure_compliance,67,0,67,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,11_replica_count_compliance,107,20,87,18.69%,81.31%
AZ-EU-PV-PRD-CE-PO-AKS-01,12_node_affinity_compliance,39,0,39,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,13_pod_disruption_budget_compliance,3,3,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,14_resource_limits_compliance,39,30,9,76.92%,23.08%
AZ-EU-PV-PRD-CE-PO-AKS-01,15_cpu_request_compliance,113,0,113,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,16_disable_cpu_limits_compliance,113,113,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,17_namespace_limitrange_compliance,24,24,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,18_pod_qos_compliance,67,55,12,82.09%,17.91%
AZ-EU-PV-PRD-CE-PO-AKS-01,19_kubernetes_compliance,313,0,313,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,1_check_readiness,72,19,53,26.39%,73.61%
AZ-EU-PV-PRD-CE-PO-AKS-01,20_kubernetes_commercial_compliance,313,0,313,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,21_kubernetes_security_compliance,313,0,313,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,22_logging_compliance,67,0,67,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,23_sidecar_logging_compliance,67,67,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,24_stateless_containers_compliance,72,69,3,95.83%,4.17%
AZ-EU-PV-PRD-CE-PO-AKS-01,25_hpa_usage_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PO-AKS-01,27_cluster_autoscaler_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PO-AKS-01,28_config_exteriorization_compliance,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PO-AKS-01,29_SecretsMountValidation,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PO-AKS-01,2_crash_events,67,23,44,34.33%,65.67%
AZ-EU-PV-PRD-CE-PO-AKS-01,30_NamespaceLimitRangeValidation,25,0,25,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,31_NamespaceResourceQuotaValidation,25,0,25,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,32_kubernetes_pod_security_policies,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PO-AKS-01,33_PodPrivilegedCheck,67,61,6,91.04%,8.96%
AZ-EU-PV-PRD-CE-PO-AKS-01,34_PodReadOnlyFilesystemCheck,67,8,59,11.94%,88.06%
AZ-EU-PV-PRD-CE-PO-AKS-01,35_PodRootUserCheck,67,67,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,37_kubernetes_privilege_escalation,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PO-AKS-01,38_NetworkPolicyCheck,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PO-AKS-01,39_ConservativeNetworkPolicyCheck,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PO-AKS-01,3_liveness_probe_info,72,18,54,25.00%,75.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,40_DisableAutoMount_Report,38,38,0,100.00%,0.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,41_RBAC_MinimumPrivileges_Check,4,0,4,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,42_RBAC_GranularRoles_Check,5,0,5,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,43_ImagePolicyWebhook_Check,4,0,4,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,43_RBAC_Policies_Report,Without Data,Without Data,Without Data,N/A,N/A
AZ-EU-PV-PRD-CE-PO-AKS-01,44_IngressHostUniqueness_Check,4,0,4,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,45_IngressApprovedDomains_Check,4,0,4,0.00%,100.00%
AZ-EU-PV-PRD-CE-PO-AKS-01,4_kubernetes_compliance,72,66,6,91.67%,8.33%
AZ-EU-PV-PRD-CE-PO-AKS-01,5_kubernetes_readiness_probe_compliance,72,72,0,100.00%,0.00%
